leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
c5b97bbe-7293-4e6c-8985-fa25ca332dca,RANKED_SOLO_5x5,GOLD,I,QA5AHe6aSQFAtAvC_t0MXQAXGlPSwKfamKUpp7Nhg94EkqgU,98,59,70,False,False,True,False
c8a24662-acc3-4596-8a56-74d878141d89,RANKED_SOLO_5x5,GOLD,I,eUKCe2ku_bhwv-SgoNhIOBXP5_VmyS7Mi68oyjdTqMErpv_u,68,41,36,False,False,False,False
87d160df-d66b-4d66-b7c9-4a80b455479a,RANKED_SOLO_5x5,GOLD,I,FdLmNbADfcDVfxaIOLSmdjOmkfnHaU9d6ttUSbt1tN1jNo_S,56,44,45,False,False,True,False
f7cdde7e-b192-429b-a847-63d83d91b7b7,RANKED_SOLO_5x5,GOLD,I,eNsFE1NZbQnO3I72cc2DphBmvR5zBDn1KXlQ7uuREyUOcsxR,58,8,6,False,False,False,False
c4510707-cf09-4370-b4e1-0f4aa1113a12,RANKED_SOLO_5x5,GOLD,I,ykd7-h_WcQucrY6rUPBmc1qF48SWx-2ulyliM0BAmRgGgAjJ,67,51,49,False,False,False,False
e37a1a08-00e2-4915-ad38-c396cbf9f5bd,RANKED_SOLO_5x5,GOLD,I,LOjGXtoqoTe8A5SCkmZBXmhGqcJGBD8_NLGAcmgZ0CWzfgI4,55,50,42,False,False,False,False
56a5f71b-5625-4d4b-bf5f-8a4bc5c57bd1,RANKED_SOLO_5x5,GOLD,I,q6xW4yZAquKl0ltilabaKMPdoeaUJfs6hvjNcFckbBubBv1a,16,25,24,False,False,False,False
632c9fa9-7e5b-41ec-9227-353631dcf9c9,RANKED_SOLO_5x5,GOLD,I,xEJjPKb3k4jhcDdqP-caCSm9Kkb0sCguWi48Lw_2UqGLpexC,12,134,127,False,False,True,False
b79e162b-cd41-48a6-aabe-2cb58379b15d,RANKED_SOLO_5x5,GOLD,I,6Orv78nTQivkh-bWg9pB4DHpuNr0o1h18MtXyNn4hINo_8FL,75,21,29,False,False,False,False
6328a7c2-892e-4e55-a228-e56c167b162b,RANKED_SOLO_5x5,GOLD,I,QWp60tyugg0pWtu4dfTw0vNrYBxupIyrgDrBkg88541ROyGn,21,5,3,False,False,False,True
881f6b56-7078-4aac-80d0-a7a6a749b5af,RANKED_SOLO_5x5,GOLD,I,LUBF1errmKzDJMUL7GMc82I3pg-diIGKk7Rg1srIONwCMyB4,30,96,75,False,False,False,False
031b73e0-e4df-494d-b4bc-bb0394c906bc,RANKED_SOLO_5x5,GOLD,I,MPE_e7GdTXBlcU3t_01Y-dS8xnx8kZEAyZ_Xd-sI97QRNdsu,48,4,6,False,False,False,False
c09b2dd5-43fd-49a0-993d-0dafce498879,RANKED_SOLO_5x5,GOLD,I,UF6HhzRUSV7LAFdCEhpkmi6bjG99y7tnm2_igtDKJg53RYpw,61,28,31,False,False,False,False
