matchid
NA1_5177329204
NA1_5177350989
NA1_4938984424
NA1_5038104039
NA1_5171492869
NA1_5145313237
NA1_5131921830
NA1_5167510199
NA1_5177860931
NA1_5024437569
NA1_4744546320
NA1_5153609049
NA1_5125358358
NA1_5069128634
NA1_5176710506
NA1_5091865786
NA1_5140150074
NA1_5163565331
NA1_5119925862
NA1_5155058199
NA1_5117808768
NA1_5038747542
NA1_5175284905
NA1_5163079322
NA1_5138337816
NA1_5132726746
NA1_5171515373
NA1_5166965150
NA1_5025623407
NA1_5154241419
NA1_5120190576
NA1_4962432760
NA1_5124499962
NA1_5108883317
NA1_5151431705
NA1_5164279566
NA1_4941749423
NA1_5139603597
NA1_5159572779
NA1_5177995911
NA1_5166089159
NA1_5176806444
NA1_5114202964
NA1_5125065252
NA1_5142114397
NA1_4913971583
NA1_5093761926
NA1_5175397566
NA1_5172405162
NA1_5156767934
NA1_5177836843
NA1_5164135432
NA1_5129741520
NA1_5125364258
NA1_5166943329
NA1_5143030267
NA1_5107330097
NA1_5177180327
NA1_5163890713
NA1_5174417100
NA1_4729266677
NA1_5142341692
NA1_5117822822
NA1_5168120360
NA1_5168904447
NA1_5153099943
NA1_4655466033
NA1_5157831983
NA1_5167319674
NA1_5153991726
NA1_5151352121
NA1_5011319741
NA1_5167801349
NA1_5144531103
NA1_5176850999
NA1_5157720582
NA1_5121042963
NA1_5139352030
NA1_5152324332
NA1_5162285637
NA1_5126423093
NA1_5143458473
NA1_5168524716
NA1_5118420861
NA1_5166812871
NA1_5177379492
NA1_5124798131
NA1_5142306449
NA1_4984823469
NA1_5158059964
NA1_5016624229
NA1_5170858479
NA1_5153340313
NA1_5146900291
NA1_5161994948
NA1_5147858988
NA1_5172243580
NA1_5037634650
NA1_5135533951
NA1_5111663436
NA1_4997417679
NA1_5166005914
NA1_5165447582
NA1_5160194258
NA1_5124091340
NA1_5083648796
NA1_5165295127
NA1_5089638565
NA1_5170658160
NA1_5171903428
NA1_5172942813
NA1_5154113789
NA1_5027418785
NA1_5161963096
NA1_5098141529
NA1_5156005041
NA1_5164168227
NA1_5160674528
NA1_5121137297
NA1_5154522539
NA1_5160691344
NA1_5126885711
NA1_5174323194
NA1_5151884363
NA1_5148401033
NA1_5172657482
NA1_5142179044
NA1_5093026653
NA1_5145939278
NA1_5169758817
NA1_5175120504
NA1_5152035702
NA1_5111117536
NA1_5173252194
NA1_5153752068
NA1_5171683437
NA1_5108771044
NA1_5154975134
NA1_5098919934
NA1_5173547361
NA1_5175055704
