match_id,blue_team_champs,red_team_champs,blue_win
NA1_5160983208,"Darius,Karthus,Jayce,Caitlyn,Nami","DrMundo,Kindred,Talon,Taliyah,Poppy",False
NA1_5065171325,"Diana,Sion,Shyvana,Rumble,Kaisa","Lux,Hecarim,Jinx,Seraphine,Yone",True
NA1_5165981689,"DrMundo,Briar,Ahri,Sivir,Zilean","Zac,Udyr,Corki,Caitlyn,Thresh",False
NA1_5168923325,"Jayce,Volibear,Ahri,Ezreal,Nami","Malphite,Rengar,Vex,Sivir,Bard",False
NA1_5147834160,"Chogath,Udyr,Lissandra,Jhin,Pyke","Rumble,Graves,Viktor,Caitlyn,Shaco",True
NA1_5131889713,"Akali,Briar,Veigar,Ezreal,Velkoz","Viego,Belveth,Vex,Samira,Lux",True
NA1_5038945936,"Camille,Ekko,Azir,Jinx,Morgana","Garen,Diana,Veigar,Kaisa,Leona",False
NA1_5142268755,"Darius,Khazix,Yasuo,Seraphine,Lux","Pantheon,Teemo,Yone,Twitch,Senna",True
NA1_5176636952,"KSante,Graves,Fizz,Jinx,Janna","Kayle,Lillia,Yone,Tristana,Taric",True
NA1_5162848921,"Malphite,LeeSin,Yasuo,Ashe,Morgana","Riven,Elise,Chogath,Nilah,Maokai",True
NA1_5176402635,"Ornn,Vi,Diana,Vayne,Xerath","Tryndamere,Karthus,Zed,KogMaw,Pyke",True
NA1_5168444445,"Renekton,Viego,Zed,Ashe,Karma","Aurora,Zac,MasterYi,Jinx,Brand",False
NA1_5164339420,"Maokai,Nunu,Malzahar,Ashe,Shen","Chogath,FiddleSticks,Akshan,Jhin,Swain",False
NA1_5173557348,"Teemo,Rengar,Ahri,Jhin,Karma","Pantheon,Warwick,Taliyah,Samira,Swain",False
NA1_5125323130,"MonkeyKing,Udyr,Kassadin,Xayah,Rakan","Pantheon,Graves,Yone,Ziggs,Lissandra",True
NA1_5161255160,"Mordekaiser,Viego,Leblanc,Caitlyn,Soraka","Singed,Nunu,Garen,Ashe,Braum",False
NA1_5172572198,"Ambessa,Udyr,Ahri,Jinx,Janna","Jayce,Warwick,Neeko,Smolder,Nautilus",True
NA1_5171951633,"Warwick,JarvanIV,Malzahar,Ashe,Nautilus","Sion,Garen,Leblanc,Sivir,Annie",False
NA1_5176391690,"Gangplank,Nunu,Syndra,Vayne,Shaco","Mordekaiser,Kayn,Jhin,Smolder,Xerath",False
NA1_5157627006,"Garen,Khazix,Malzahar,Kaisa,Thresh","Sett,Shaco,Swain,Caitlyn,Vex",False
NA1_5171558798,"Aatrox,Yorick,Syndra,Jhin,TahmKench","Warwick,Shaco,Taliyah,Caitlyn,Morgana",True
NA1_5172937876,"Volibear,Hecarim,Hwei,Smolder,Leona","Aurora,Skarner,Ekko,Draven,Thresh",True
NA1_5090768053,"Tryndamere,Khazix,Katarina,Tristana,Thresh","Teemo,Vi,Yasuo,Zeri,Lulu",True
NA1_5025760582,"Aatrox,Lillia,Ekko,MissFortune,Lux","Yorick,Kindred,Leblanc,Ezreal,Brand",False
NA1_5158997018,"KSante,Rengar,Diana,Ashe,Blitzcrank","Gnar,Kayn,Jayce,Jhin,Brand",True
NA1_5142156472,"Irelia,Shyvana,Ahri,Lucian,Sona","Gwen,MasterYi,Yone,Seraphine,Nami",True
NA1_5136798467,"Yone,LeeSin,Azir,Jinx,Nautilus","Malphite,Hecarim,Seraphine,Jhin,Senna",True
NA1_5138489104,"Yone,Graves,Ryze,Kaisa,Pyke","Urgot,Viego,Hwei,Jhin,Thresh",False
NA1_5156330875,"Illaoi,Gragas,Hwei,Kaisa,TahmKench","Gnar,Gwen,Galio,Ashe,Renata",False
NA1_5153587674,"Kayle,Jax,Jayce,MissFortune,Neeko","Garen,Belveth,Anivia,Ashe,Seraphine",True
NA1_5095713488,"Smolder,Hecarim,Annie,Ezreal,Lux","Aatrox,JarvanIV,Syndra,Kaisa,Janna",False
NA1_5145671126,"DrMundo,Nidalee,Yasuo,Jinx,Blitzcrank","Shen,Shaco,Viktor,Caitlyn,Bard",True
NA1_5142134998,"Darius,Graves,Vladimir,Lucian,Nami","MonkeyKing,Lillia,Fizz,Caitlyn,Senna",True
NA1_5122085796,"Nasus,Brand,Leblanc,Zeri,Yuumi","Illaoi,Nocturne,Garen,Samira,Thresh",True
NA1_5169750994,"Gnar,Zed,AurelionSol,Jhin,Xerath","Maokai,LeeSin,Malphite,Ezreal,TahmKench",False
NA1_5166264083,"Yone,Hecarim,Veigar,Corki,Velkoz","Singed,Gragas,Yasuo,Syndra,Lulu",True
NA1_5157163849,"Vladimir,Briar,Azir,Smolder,Lulu","Maokai,XinZhao,Veigar,Caitlyn,Zac",False
NA1_5171953309,"Renekton,Udyr,Malzahar,Smolder,Swain","Volibear,JarvanIV,TwistedFate,Xayah,Rakan",True
NA1_5174525430,"Sion,Warwick,Galio,Samira,Maokai","Volibear,XinZhao,Azir,Ezreal,TahmKench",False
NA1_5169015081,"Gangplank,Amumu,AurelionSol,Ashe,Alistar","Teemo,Graves,Malzahar,Draven,Nautilus",True
NA1_5136318958,"DrMundo,LeeSin,Annie,Caitlyn,Seraphine","Renekton,Shaco,Vex,Ezreal,Gragas",False
NA1_5174015377,"Camille,Warwick,Syndra,Zeri,Janna","Maokai,Belveth,Xerath,Jinx,Nami",False
NA1_5136780770,"Nasus,Kayn,Ziggs,Ashe,Nautilus","Gragas,Lillia,Yasuo,Caitlyn,Pyke",True
NA1_5157468100,"Gnar,Warwick,Ambessa,Jhin,Bard","Vladimir,Kayn,AurelionSol,Sivir,Milio",False
NA1_5139075682,"Aatrox,Brand,Kassadin,Jhin,Janna","Gwen,Viego,Tristana,Kaisa,Lux",False
NA1_5176943502,"Teemo,Ekko,Diana,Caitlyn,Pyke","Mordekaiser,Vayne,Briar,Jinx,Thresh",True
NA1_5024811674,"Camille,Karthus,Jinx,Hwei,Thresh","Mordekaiser,Shyvana,Xerath,Lucian,Pantheon",True
NA1_5110049709,"Kennen,LeeSin,Syndra,Smolder,Janna","Gragas,Amumu,Tristana,Hwei,Lux",False
NA1_5143815419,"Yorick,Viego,Kayn,Aphelios,Soraka","Darius,Zac,Ziggs,Jinx,Milio",True
NA1_5165628090,"Akali,JarvanIV,Talon,Draven,Zilean","Sion,MasterYi,Lux,MissFortune,Nami",True
NA1_5154636787,"Sett,Viego,Akali,Sivir,Lux","Garen,Ivern,Malzahar,Jhin,Swain",True
NA1_5165469279,"Jayce,Nunu,Leblanc,Seraphine,Poppy","Ornn,LeeSin,Malzahar,Ezreal,Karma",False
NA1_5150527771,"Gwen,LeeSin,Lucian,Vayne,Pyke","Mordekaiser,Nunu,Irelia,Nilah,Karma",False
NA1_5146568926,"Aurora,XinZhao,Kled,Corki,Lux","Garen,Evelynn,Ahri,Kaisa,Janna",False
NA1_5143696602,"Mordekaiser,Kindred,KogMaw,Varus,Sona","Garen,FiddleSticks,Ahri,Ashe,Rakan",True
NA1_5101741200,"Kennen,Khazix,Diana,Jinx,Sona","Camille,MonkeyKing,Jhin,Smolder,Seraphine",False
NA1_4867786953,"Gnar,Rengar,Sylas,Sivir,Braum","Malphite,FiddleSticks,Trundle,Draven,Blitzcrank",True
NA1_5164283883,"Briar,MasterYi,Chogath,Smolder,Braum","MonkeyKing,Diana,Jayce,Samira,Nautilus",True
NA1_5134579361,"Shen,Shyvana,Yasuo,Kaisa,Thresh","Nasus,Gragas,Quinn,AurelionSol,Yuumi",True
NA1_5143569995,"Aatrox,Zyra,Sylas,Jhin,Velkoz","Yorick,Nocturne,Malzahar,MissFortune,Lux",True
NA1_5175051967,"Aatrox,Warwick,Swain,Corki,Anivia","Renekton,Elise,Lux,Jhin,Blitzcrank",True
NA1_5005685404,"KSante,Udyr,Lissandra,MissFortune,Sona","Sett,Lillia,Viktor,Jhin,Xerath",False
NA1_5094280432,"Chogath,LeeSin,Azir,Ezreal,Milio","Garen,Warwick,Malzahar,Kaisa,Rell",True
NA1_5096514110,"Garen,Nunu,AurelionSol,Jinx,Senna","Darius,Shen,Anivia,MissFortune,Ivern",False
NA1_5137107396,"Yorick,Lillia,Akshan,Ashe,Rell","Renekton,Gragas,Yone,Kaisa,Blitzcrank",True
NA1_5167109723,"Tristana,Gwen,Lux,Jinx,Nami","Gnar,Khazix,Akali,Ezreal,Karma",False
